Data 2020,Data 2021,aggiornamento,X,Filter,2020/21,2021/22,unità
24/01/21,24/01/22,22/02/22,24/1,Incidenza,144,1964,nuovi casi settimanali ogni 100.000 abitanti
25/01/21,25/01/22,22/02/22,25/1,Incidenza,144,1969,nuovi casi settimanali ogni 100.000 abitanti
26/01/21,26/01/22,22/02/22,26/1,Incidenza,144,1925,nuovi casi settimanali ogni 100.000 abitanti
27/01/21,27/01/22,22/02/22,27/1,Incidenza,147,1868,nuovi casi settimanali ogni 100.000 abitanti
28/01/21,28/01/22,22/02/22,28/1,Incidenza,147,1808,nuovi casi settimanali ogni 100.000 abitanti
29/01/21,29/01/22,22/02/22,29/1,Incidenza,147,1751,nuovi casi settimanali ogni 100.000 abitanti
30/01/21,30/01/22,22/02/22,30/1,Incidenza,146,1691,nuovi casi settimanali ogni 100.000 abitanti
31/01/21,31/01/22,22/02/22,31/1,Incidenza,146,1659,nuovi casi settimanali ogni 100.000 abitanti
01/02/21,01/02/22,22/02/22,1/2,Incidenza,144,1520,nuovi casi settimanali ogni 100.000 abitanti
02/02/21,02/02/22,22/02/22,2/2,Incidenza,143,1442,nuovi casi settimanali ogni 100.000 abitanti
03/02/21,03/02/22,22/02/22,3/2,Incidenza,139,1370,nuovi casi settimanali ogni 100.000 abitanti
04/02/21,04/02/22,22/02/22,4/2,Incidenza,138,1296,nuovi casi settimanali ogni 100.000 abitanti
05/02/21,05/02/22,22/02/22,5/2,Incidenza,139,1221,nuovi casi settimanali ogni 100.000 abitanti
06/02/21,06/02/22,22/02/22,6/2,Incidenza,141,1176,nuovi casi settimanali ogni 100.000 abitanti
07/02/21,07/02/22,22/02/22,7/2,Incidenza,141,1146,nuovi casi settimanali ogni 100.000 abitanti
08/02/21,08/02/22,22/02/22,8/2,Incidenza,141,1094,nuovi casi settimanali ogni 100.000 abitanti
09/02/21,09/02/22,22/02/22,9/2,Incidenza,143,1027,nuovi casi settimanali ogni 100.000 abitanti
10/02/21,10/02/22,22/02/22,10/2,Incidenza,143,965,nuovi casi settimanali ogni 100.000 abitanti
11/02/21,11/02/22,22/02/22,11/2,Incidenza,145,910,nuovi casi settimanali ogni 100.000 abitanti
12/02/21,12/02/22,22/02/22,12/2,Incidenza,145,858,nuovi casi settimanali ogni 100.000 abitanti
13/02/21,13/02/22,22/02/22,13/2,Incidenza,145,815,nuovi casi settimanali ogni 100.000 abitanti
14/02/21,14/02/22,22/02/22,14/2,Incidenza,144,794,nuovi casi settimanali ogni 100.000 abitanti
15/02/21,15/02/22,22/02/22,15/2,Incidenza,143,741,nuovi casi settimanali ogni 100.000 abitanti
16/02/21,16/02/22,22/02/22,16/2,Incidenza,142,705,nuovi casi settimanali ogni 100.000 abitanti
17/02/21,17/02/22,22/02/22,17/2,Incidenza,141,674,nuovi casi settimanali ogni 100.000 abitanti
18/02/21,18/02/22,22/02/22,18/2,Incidenza,138,651,nuovi casi settimanali ogni 100.000 abitanti
19/02/21,19/02/22,22/02/22,19/2,Incidenza,141,631,nuovi casi settimanali ogni 100.000 abitanti
20/02/21,20/02/22,22/02/22,20/2,Incidenza,143,614,nuovi casi settimanali ogni 100.000 abitanti
21/02/21,21/02/22,22/02/22,21/2,Incidenza,147,607,nuovi casi settimanali ogni 100.000 abitanti
22/02/21,22/02/22,22/02/22,22/2,Incidenza,151,588,nuovi casi settimanali ogni 100.000 abitanti
25/12/20,25/12/21,22/02/22,25/12,Ricoveri,39.49,15.01,persone ricoverate ogni 100.000 abitanti
26/12/20,26/12/21,22/02/22,26/12,Ricoveri,39.34,15.56,persone ricoverate ogni 100.000 abitanti
27/12/20,27/12/21,22/02/22,27/12,Ricoveri,39.78,16.41,persone ricoverate ogni 100.000 abitanti
28/12/20,28/12/21,22/02/22,28/12,Ricoveri,40.39,17.03,persone ricoverate ogni 100.000 abitanti
29/12/20,29/12/21,22/02/22,29/12,Ricoveri,39.93,17.85,persone ricoverate ogni 100.000 abitanti
30/12/20,30/12/21,22/02/22,30/12,Ricoveri,39.77,18.34,persone ricoverate ogni 100.000 abitanti
31/12/20,31/12/21,22/02/22,31/12,Ricoveri,39.07,18.82,persone ricoverate ogni 100.000 abitanti
01/01/21,01/01/22,22/02/22,1/1,Ricoveri,38.51,19.01,persone ricoverate ogni 100.000 abitanti
02/01/21,02/01/22,22/02/22,2/1,Ricoveri,38.73,19.84,persone ricoverate ogni 100.000 abitanti
03/01/21,03/01/22,22/02/22,3/1,Ricoveri,38.94,20.81,persone ricoverate ogni 100.000 abitanti
04/01/21,04/01/22,22/02/22,4/1,Ricoveri,39.35,21.79,persone ricoverate ogni 100.000 abitanti
05/01/21,05/01/22,22/02/22,5/1,Ricoveri,39.48,22.55,persone ricoverate ogni 100.000 abitanti
06/01/21,06/01/22,22/02/22,6/1,Ricoveri,39.11,23.33,persone ricoverate ogni 100.000 abitanti
07/01/21,07/01/22,22/02/22,7/1,Ricoveri,39.3,24.62,persone ricoverate ogni 100.000 abitanti
08/01/21,08/01/22,22/02/22,8/1,Ricoveri,39.34,25.2,persone ricoverate ogni 100.000 abitanti
09/01/21,09/01/22,22/02/22,9/1,Ricoveri,39.25,26.41,persone ricoverate ogni 100.000 abitanti
10/01/21,10/01/22,22/02/22,10/1,Ricoveri,39.53,27.57,persone ricoverate ogni 100.000 abitanti
11/01/21,11/01/22,22/02/22,11/1,Ricoveri,39.83,28.8,persone ricoverate ogni 100.000 abitanti
12/01/21,12/01/22,22/02/22,12/1,Ricoveri,40.02,29.21,persone ricoverate ogni 100.000 abitanti
13/01/21,13/01/22,22/02/22,13/1,Ricoveri,39.7,29.78,persone ricoverate ogni 100.000 abitanti
14/01/21,14/01/22,22/02/22,14/1,Ricoveri,39,30.41,persone ricoverate ogni 100.000 abitanti
15/01/21,15/01/22,22/02/22,15/1,Ricoveri,38.55,31,persone ricoverate ogni 100.000 abitanti
16/01/21,16/01/22,22/02/22,16/1,Ricoveri,38.45,31.59,persone ricoverate ogni 100.000 abitanti
17/01/21,17/01/22,22/02/22,17/1,Ricoveri,38.4,32.45,persone ricoverate ogni 100.000 abitanti
18/01/21,18/01/22,22/02/22,18/1,Ricoveri,38.62,32.82,persone ricoverate ogni 100.000 abitanti
19/01/21,19/01/22,22/02/22,19/1,Ricoveri,38.31,32.91,persone ricoverate ogni 100.000 abitanti
20/01/21,20/01/22,22/02/22,20/1,Ricoveri,37.92,33.18,persone ricoverate ogni 100.000 abitanti
21/01/21,21/01/22,22/02/22,21/1,Ricoveri,37.2,32.88,persone ricoverate ogni 100.000 abitanti
22/01/21,22/01/22,22/02/22,22/1,Ricoveri,36.6,32.81,persone ricoverate ogni 100.000 abitanti
23/01/21,23/01/22,22/02/22,23/1,Ricoveri,36.12,33.12,persone ricoverate ogni 100.000 abitanti
24/01/21,24/01/22,22/02/22,24/1,Ricoveri,35.96,33.52,persone ricoverate ogni 100.000 abitanti
25/01/21,25/01/22,22/02/22,25/1,Ricoveri,36.15,33.81,persone ricoverate ogni 100.000 abitanti
26/01/21,26/01/22,22/02/22,26/1,Ricoveri,36.04,33.75,persone ricoverate ogni 100.000 abitanti
27/01/21,27/01/22,22/02/22,27/1,Ricoveri,35.71,33.5,persone ricoverate ogni 100.000 abitanti
28/01/21,28/01/22,22/02/22,28/1,Ricoveri,35.06,33.41,persone ricoverate ogni 100.000 abitanti
29/01/21,29/01/22,22/02/22,29/1,Ricoveri,34.42,33.14,persone ricoverate ogni 100.000 abitanti
30/01/21,30/01/22,22/02/22,30/1,Ricoveri,33.92,33.1,persone ricoverate ogni 100.000 abitanti
31/01/21,31/01/22,22/02/22,31/1,Ricoveri,33.91,33.6,persone ricoverate ogni 100.000 abitanti
01/02/21,01/02/22,22/02/22,1/2,Ricoveri,34.19,33.54,persone ricoverate ogni 100.000 abitanti
02/02/21,02/02/22,22/02/22,2/2,Ricoveri,34.29,32.99,persone ricoverate ogni 100.000 abitanti
03/02/21,03/02/22,22/02/22,3/2,Ricoveri,33.87,32.61,persone ricoverate ogni 100.000 abitanti
04/02/21,04/02/22,22/02/22,4/2,Ricoveri,33.32,32.06,persone ricoverate ogni 100.000 abitanti
05/02/21,05/02/22,22/02/22,5/2,Ricoveri,33.03,31.41,persone ricoverate ogni 100.000 abitanti
06/02/21,06/02/22,22/02/22,6/2,Ricoveri,32.75,31.22,persone ricoverate ogni 100.000 abitanti
07/02/21,07/02/22,22/02/22,7/2,Ricoveri,32.51,31.51,persone ricoverate ogni 100.000 abitanti
08/02/21,08/02/22,22/02/22,8/2,Ricoveri,32.95,30.94,persone ricoverate ogni 100.000 abitanti
09/02/21,09/02/22,22/02/22,9/2,Ricoveri,32.93,30.26,persone ricoverate ogni 100.000 abitanti
10/02/21,10/02/22,22/02/22,10/2,Ricoveri,32.54,29.29,persone ricoverate ogni 100.000 abitanti
11/02/21,11/02/22,22/02/22,11/2,Ricoveri,31.97,28.39,persone ricoverate ogni 100.000 abitanti
12/02/21,12/02/22,22/02/22,12/2,Ricoveri,31.62,27.52,persone ricoverate ogni 100.000 abitanti
13/02/21,13/02/22,22/02/22,13/2,Ricoveri,31.22,27.1,persone ricoverate ogni 100.000 abitanti
14/02/21,14/02/22,22/02/22,14/2,Ricoveri,31.13,27.09,persone ricoverate ogni 100.000 abitanti
15/02/21,15/02/22,22/02/22,15/2,Ricoveri,31.24,26.33,persone ricoverate ogni 100.000 abitanti
16/02/21,16/02/22,22/02/22,16/2,Ricoveri,31.16,25.53,persone ricoverate ogni 100.000 abitanti
17/02/21,17/02/22,22/02/22,17/2,Ricoveri,30.84,24.57,persone ricoverate ogni 100.000 abitanti
18/02/21,18/02/22,22/02/22,18/2,Ricoveri,30.31,23.54,persone ricoverate ogni 100.000 abitanti
19/02/21,19/02/22,22/02/22,19/2,Ricoveri,30.09,22.59,persone ricoverate ogni 100.000 abitanti
20/02/21,20/02/22,22/02/22,20/2,Ricoveri,29.91,22.42,persone ricoverate ogni 100.000 abitanti
21/02/21,21/02/22,22/02/22,21/2,Ricoveri,30.05,22.57,persone ricoverate ogni 100.000 abitanti
22/02/21,22/02/22,22/02/22,22/2,Ricoveri,30.64,22.07,persone ricoverate ogni 100.000 abitanti
25/12/20,25/12/21,22/02/22,25/12,Terapie Intensive,43.60,18.10,persone in terapia intensiva ogni milione di abitanti
26/12/20,26/12/21,22/02/22,26/12,Terapie Intensive,43.50,18.40,persone in terapia intensiva ogni milione di abitanti
27/12/20,27/12/21,22/02/22,27/12,Terapie Intensive,43.50,19.00,persone in terapia intensiva ogni milione di abitanti
28/12/20,28/12/21,22/02/22,28/12,Terapie Intensive,43.30,19.30,persone in terapia intensiva ogni milione di abitanti
29/12/20,29/12/21,22/02/22,29/12,Terapie Intensive,43.00,20.00,persone in terapia intensiva ogni milione di abitanti
30/12/20,30/12/21,22/02/22,30/12,Terapie Intensive,42.70,20.70,persone in terapia intensiva ogni milione di abitanti
31/12/20,31/12/21,22/02/22,31/12,Terapie Intensive,43.10,21.30,persone in terapia intensiva ogni milione di abitanti
01/01/21,01/01/22,22/02/22,1/1,Terapie Intensive,43.10,21.90,persone in terapia intensiva ogni milione di abitanti
02/01/21,02/01/22,22/02/22,2/1,Terapie Intensive,43.40,22.30,persone in terapia intensiva ogni milione di abitanti
03/01/21,03/01/22,22/02/22,3/1,Terapie Intensive,43.60,22.80,persone in terapia intensiva ogni milione di abitanti
04/01/21,04/01/22,22/02/22,4/1,Terapie Intensive,43.50,23.50,persone in terapia intensiva ogni milione di abitanti
05/01/21,05/01/22,22/02/22,5/1,Terapie Intensive,43.40,24.10,persone in terapia intensiva ogni milione di abitanti
06/01/21,06/01/22,22/02/22,6/1,Terapie Intensive,43.40,24.80,persone in terapia intensiva ogni milione di abitanti
07/01/21,07/01/22,22/02/22,7/1,Terapie Intensive,43.70,25.30,persone in terapia intensiva ogni milione di abitanti
08/01/21,08/01/22,22/02/22,8/1,Terapie Intensive,43.70,26.30,persone in terapia intensiva ogni milione di abitanti
09/01/21,09/01/22,22/02/22,9/1,Terapie Intensive,43.80,26.90,persone in terapia intensiva ogni milione di abitanti
10/01/21,10/01/22,22/02/22,10/1,Terapie Intensive,44.10,27.10,persone in terapia intensiva ogni milione di abitanti
11/01/21,11/01/22,22/02/22,11/1,Terapie Intensive,44.60,28.30,persone in terapia intensiva ogni milione di abitanti
12/01/21,12/01/22,22/02/22,12/1,Terapie Intensive,44.50,28.20,persone in terapia intensiva ogni milione di abitanti
13/01/21,13/01/22,22/02/22,13/1,Terapie Intensive,43.50,28.10,persone in terapia intensiva ogni milione di abitanti
14/01/21,14/01/22,22/02/22,14/1,Terapie Intensive,43.20,28.30,persone in terapia intensiva ogni milione di abitanti
15/01/21,15/01/22,22/02/22,15/1,Terapie Intensive,42.60,28.30,persone in terapia intensiva ogni milione di abitanti
16/01/21,16/01/22,22/02/22,16/1,Terapie Intensive,42.50,28.50,persone in terapia intensiva ogni milione di abitanti
17/01/21,17/01/22,22/02/22,17/1,Terapie Intensive,42.20,29.00,persone in terapia intensiva ogni milione di abitanti
18/01/21,18/01/22,22/02/22,18/1,Terapie Intensive,42.90,28.90,persone in terapia intensiva ogni milione di abitanti
19/01/21,19/01/22,22/02/22,19/1,Terapie Intensive,42.00,28.50,persone in terapia intensiva ogni milione di abitanti
20/01/21,20/01/22,22/02/22,20/1,Terapie Intensive,41.50,28.70,persone in terapia intensiva ogni milione di abitanti
21/01/21,21/01/22,22/02/22,21/1,Terapie Intensive,40.80,28.80,persone in terapia intensiva ogni milione di abitanti
22/01/21,22/01/22,22/02/22,22/1,Terapie Intensive,40.30,28.30,persone in terapia intensiva ogni milione di abitanti
23/01/21,23/01/22,22/02/22,23/1,Terapie Intensive,40.30,28.40,persone in terapia intensiva ogni milione di abitanti
24/01/21,24/01/22,22/02/22,24/1,Terapie Intensive,40.50,28.40,persone in terapia intensiva ogni milione di abitanti
25/01/21,25/01/22,22/02/22,25/1,Terapie Intensive,40.90,28.50,persone in terapia intensiva ogni milione di abitanti
26/01/21,26/01/22,22/02/22,26/1,Terapie Intensive,40.00,28.10,persone in terapia intensiva ogni milione di abitanti
27/01/21,27/01/22,22/02/22,27/1,Terapie Intensive,39.70,27.80,persone in terapia intensiva ogni milione di abitanti
28/01/21,28/01/22,22/02/22,28/1,Terapie Intensive,38.60,27.50,persone in terapia intensiva ogni milione di abitanti
29/01/21,29/01/22,22/02/22,29/1,Terapie Intensive,38.30,26.80,persone in terapia intensiva ogni milione di abitanti
30/01/21,30/01/22,22/02/22,30/1,Terapie Intensive,37.40,26.90,persone in terapia intensiva ogni milione di abitanti
31/01/21,31/01/22,22/02/22,31/1,Terapie Intensive,37.40,26.70,persone in terapia intensiva ogni milione di abitanti
01/02/21,01/02/22,22/02/22,1/2,Terapie Intensive,38.00,26.10,persone in terapia intensiva ogni milione di abitanti
02/02/21,02/02/22,22/02/22,2/2,Terapie Intensive,37.40,25.70,persone in terapia intensiva ogni milione di abitanti
03/02/21,03/02/22,22/02/22,3/2,Terapie Intensive,36.20,24.60,persone in terapia intensiva ogni milione di abitanti
04/02/21,04/02/22,22/02/22,4/2,Terapie Intensive,36.30,24.30,persone in terapia intensiva ogni milione di abitanti
05/02/21,05/02/22,22/02/22,5/2,Terapie Intensive,36.10,23.80,persone in terapia intensiva ogni milione di abitanti
06/02/21,06/02/22,22/02/22,6/2,Terapie Intensive,35.60,24.10,persone in terapia intensiva ogni milione di abitanti
07/02/21,07/02/22,22/02/22,7/2,Terapie Intensive,35.60,24.00,persone in terapia intensiva ogni milione di abitanti
08/02/21,08/02/22,22/02/22,8/2,Terapie Intensive,36.20,23.20,persone in terapia intensiva ogni milione di abitanti
09/02/21,09/02/22,22/02/22,9/2,Terapie Intensive,36.20,22.80,persone in terapia intensiva ogni milione di abitanti
10/02/21,10/02/22,22/02/22,10/2,Terapie Intensive,35.90,22.30,persone in terapia intensiva ogni milione di abitanti
11/02/21,11/02/22,22/02/22,11/2,Terapie Intensive,35.90,21.30,persone in terapia intensiva ogni milione di abitanti
12/02/21,12/02/22,22/02/22,12/2,Terapie Intensive,35.40,20.60,persone in terapia intensiva ogni milione di abitanti
13/02/21,13/02/22,22/02/22,13/2,Terapie Intensive,34.80,20.10,persone in terapia intensiva ogni milione di abitanti
14/02/21,14/02/22,22/02/22,14/2,Terapie Intensive,35.20,19.80,persone in terapia intensiva ogni milione di abitanti
15/02/21,15/02/22,22/02/22,15/2,Terapie Intensive,35.30,18.90,persone in terapia intensiva ogni milione di abitanti
16/02/21,16/02/22,22/02/22,16/2,Terapie Intensive,35.00,18.10,persone in terapia intensiva ogni milione di abitanti
17/02/21,17/02/22,22/02/22,17/2,Terapie Intensive,34.50,17.50,persone in terapia intensiva ogni milione di abitanti
18/02/21,18/02/22,22/02/22,18/2,Terapie Intensive,34.50,16.70,persone in terapia intensiva ogni milione di abitanti
19/02/21,19/02/22,22/02/22,19/2,Terapie Intensive,34.70,16.10,persone in terapia intensiva ogni milione di abitanti
20/02/21,20/02/22,22/02/22,20/2,Terapie Intensive,34.80,15.80,persone in terapia intensiva ogni milione di abitanti
21/02/21,21/02/22,22/02/22,21/2,Terapie Intensive,35.30,15.70,persone in terapia intensiva ogni milione di abitanti
22/02/21,22/02/22,22/02/22,22/2,Terapie Intensive,35.70,15.10,persone in terapia intensiva ogni milione di abitanti
25/12/20,25/12/21,22/02/22,25/12,Decessi,58.5,16.6,decessi settimanali ogni milione di abitanti
26/12/20,26/12/21,22/02/22,26/12,Decessi,53.7,16.4,decessi settimanali ogni milione di abitanti
27/12/20,27/12/21,22/02/22,27/12,Decessi,52.8,16.5,decessi settimanali ogni milione di abitanti
28/12/20,28/12/21,22/02/22,28/12,Decessi,53.3,17.1,decessi settimanali ogni milione di abitanti
29/12/20,29/12/21,22/02/22,29/12,Decessi,53.8,17.1,decessi settimanali ogni milione di abitanti
30/12/20,30/12/21,22/02/22,30/12,Decessi,54.2,16.9,decessi settimanali ogni milione di abitanti
31/12/20,31/12/21,22/02/22,31/12,Decessi,55,17.1,decessi settimanali ogni milione di abitanti
01/01/21,01/01/22,22/02/22,1/1,Decessi,55,16.6,decessi settimanali ogni milione di abitanti
02/01/21,02/01/22,22/02/22,2/1,Decessi,56.7,17.5,decessi settimanali ogni milione di abitanti
03/01/21,03/01/22,22/02/22,3/1,Decessi,57.5,17.4,decessi settimanali ogni milione di abitanti
04/01/21,04/01/22,22/02/22,4/1,Decessi,55.9,18.6,decessi settimanali ogni milione di abitanti
05/01/21,05/01/22,22/02/22,5/1,Decessi,55.7,20,decessi settimanali ogni milione di abitanti
06/01/21,06/01/22,22/02/22,6/1,Decessi,55.2,20.7,decessi settimanali ogni milione di abitanti
07/01/21,07/01/22,22/02/22,7/1,Decessi,52.9,21.9,decessi settimanali ogni milione di abitanti
08/01/21,08/01/22,22/02/22,8/1,Decessi,55.5,23.1,decessi settimanali ogni milione di abitanti
09/01/21,09/01/22,22/02/22,9/1,Decessi,57.5,23.5,decessi settimanali ogni milione di abitanti
10/01/21,10/01/22,22/02/22,10/1,Decessi,57.8,25,decessi settimanali ogni milione di abitanti
11/01/21,11/01/22,22/02/22,11/1,Decessi,59.5,25.5,decessi settimanali ogni milione di abitanti
12/01/21,12/01/22,22/02/22,12/1,Decessi,58.9,26.9,decessi settimanali ogni milione di abitanti
13/01/21,13/01/22,22/02/22,13/1,Decessi,58.2,28.9,decessi settimanali ogni milione di abitanti
14/01/21,14/01/22,22/02/22,14/1,Decessi,60,31.2,decessi settimanali ogni milione di abitanti
15/01/21,15/01/22,22/02/22,15/1,Decessi,57.6,33.3,decessi settimanali ogni milione di abitanti
16/01/21,16/01/22,22/02/22,16/1,Decessi,57.5,34.9,decessi settimanali ogni milione di abitanti
17/01/21,17/01/22,22/02/22,17/1,Decessi,57.7,35.9,decessi settimanali ogni milione di abitanti
18/01/21,18/01/22,22/02/22,18/1,Decessi,56.5,38.2,decessi settimanali ogni milione di abitanti
19/01/21,19/01/22,22/02/22,19/1,Decessi,56.3,39.4,decessi settimanali ogni milione di abitanti
20/01/21,20/01/22,22/02/22,20/1,Decessi,56.6,40.5,decessi settimanali ogni milione di abitanti
21/01/21,21/01/22,22/02/22,21/1,Decessi,56.6,40.8,decessi settimanali ogni milione di abitanti
22/01/21,22/01/22,22/02/22,22/1,Decessi,56.5,41.2,decessi settimanali ogni milione di abitanti
23/01/21,23/01/22,22/02/22,23/1,Decessi,56.7,40.8,decessi settimanali ogni milione di abitanti
24/01/21,24/01/22,22/02/22,24/1,Decessi,55.4,41.9,decessi settimanali ogni milione di abitanti
25/01/21,25/01/22,22/02/22,25/1,Decessi,56.1,42.5,decessi settimanali ogni milione di abitanti
26/01/21,26/01/22,22/02/22,26/1,Decessi,55.1,43.3,decessi settimanali ogni milione di abitanti
27/01/21,27/01/22,22/02/22,27/1,Decessi,54.1,43.4,decessi settimanali ogni milione di abitanti
28/01/21,28/01/22,22/02/22,28/1,Decessi,53.6,43.4,decessi settimanali ogni milione di abitanti
29/01/21,29/01/22,22/02/22,29/1,Decessi,53.7,44.2,decessi settimanali ogni milione di abitanti
30/01/21,30/01/22,22/02/22,30/1,Decessi,52.6,44.3,decessi settimanali ogni milione di abitanti
31/01/21,31/01/22,22/02/22,31/1,Decessi,51.6,44.3,decessi settimanali ogni milione di abitanti
01/02/21,01/02/22,22/02/22,1/2,Decessi,50,43.6,decessi settimanali ogni milione di abitanti
02/02/21,02/02/22,22/02/22,2/2,Decessi,49.3,43,decessi settimanali ogni milione di abitanti
03/02/21,03/02/22,22/02/22,3/2,Decessi,49.4,43.5,decessi settimanali ogni milione di abitanti
04/02/21,04/02/22,22/02/22,4/2,Decessi,48.3,44.4,decessi settimanali ogni milione di abitanti
05/02/21,05/02/22,22/02/22,5/2,Decessi,46.6,44.3,decessi settimanali ogni milione di abitanti
06/02/21,06/02/22,22/02/22,6/2,Decessi,46,44.2,decessi settimanali ogni milione di abitanti
07/02/21,07/02/22,22/02/22,7/2,Decessi,46.5,43.9,decessi settimanali ogni milione di abitanti
08/02/21,08/02/22,22/02/22,8/2,Decessi,46.2,43.7,decessi settimanali ogni milione di abitanti
09/02/21,09/02/22,22/02/22,9/2,Decessi,44.9,43.5,decessi settimanali ogni milione di abitanti
10/02/21,10/02/22,22/02/22,10/2,Decessi,42.5,42,decessi settimanali ogni milione di abitanti
11/02/21,11/02/22,22/02/22,11/2,Decessi,42,40.3,decessi settimanali ogni milione di abitanti
12/02/21,12/02/22,22/02/22,12/2,Decessi,41,38.5,decessi settimanali ogni milione di abitanti
13/02/21,13/02/22,22/02/22,13/2,Decessi,39.7,37.9,decessi settimanali ogni milione di abitanti
14/02/21,14/02/22,22/02/22,14/2,Decessi,38.9,37.1,decessi settimanali ogni milione di abitanti
15/02/21,15/02/22,22/02/22,15/2,Decessi,38.1,36.7,decessi settimanali ogni milione di abitanti
16/02/21,16/02/22,22/02/22,16/2,Decessi,36.6,34.9,decessi settimanali ogni milione di abitanti
17/02/21,17/02/22,22/02/22,17/2,Decessi,37.2,34.8,decessi settimanali ogni milione di abitanti
18/02/21,18/02/22,22/02/22,18/2,Decessi,36.3,34.4,decessi settimanali ogni milione di abitanti
19/02/21,19/02/22,22/02/22,19/2,Decessi,37,34.2,decessi settimanali ogni milione di abitanti
20/02/21,20/02/22,22/02/22,20/2,Decessi,36,33.3,decessi settimanali ogni milione di abitanti
21/02/21,21/02/22,22/02/22,21/2,Decessi,36.2,32,decessi settimanali ogni milione di abitanti
22/02/21,22/02/22,22/02/22,22/2,Decessi,36.6,30.8,decessi settimanali ogni milione di abitanti
